
## 240:540 | Главная + о проекте | 320x1682
I680:2249;231:225	"DE"	Manrope	12	500	16.392000198364258	0	ORIGINAL	#FFFCF6	1
I680:2254;231:225	"ES"	Manrope	12	500	16.392000198364258	0	ORIGINAL	#FFFCF6	1
680:2223	"1/"	Manrope	38	800	41.79999923706055	0	ORIGINAL	#6F654D	0.4000000059604645
680:2214	"Добавляйте в своё древо родных и близких"	Manrope	14	500	15.40000057220459	0	ORIGINAL	#5D5D5D	1
680:2225	"2/"	Manrope	38	500	41.79999923706055	0	ORIGINAL	#6F654D	0.4000000059604645
680:2215	"Делитесь историей своей семьи с друзьями"	Manrope	14	500	15.40000057220459	0	ORIGINAL	#5D5D5D	1
680:2224	"3/"	Manrope	38	700	41.79999923706055	0	ORIGINAL	#6F654D	0.4000000059604645
680:2216	"Сохраняйте важные даты и события"	Manrope	14	500	15.40000057220459	0	ORIGINAL	#5D5D5D	1
I680:2213;240:530	"Создать древо"	Manrope	14	500	19.124000549316406	0	ORIGINAL	#FFFCF6	1

## 242:716 | меню | 320x560
242:720	"Stammbaum"	Playfair Display	16	400	21.327999114990234	0	ORIGINAL	#FFFCF6	1
I242:773;231:225	"RU"	Manrope	12	500	16.392000198364258	0	ORIGINAL	#FFFCF6	1
242:721	"Создайте свое генеологическое древо вместе с Stammbaum"	Involve	20	500	22	0	ORIGINAL	#30302A	1
I242:811;242:803	"О проекте"	Manrope	14	500	19.124000549316406	0	ORIGINAL	#30302A	1
I242:813;242:803	"Семейное древо"	Manrope	14	500	19.124000549316406	0	ORIGINAL	#30302A	1
I242:815;242:803	"Кладбище"	Manrope	14	500	19.124000549316406	0	ORIGINAL	#30302A	1
I242:817;242:803	"Вход/Регистрация"	Manrope	14	500	19.124000549316406	0	ORIGINAL	#30302A	1
242:724	"Добавляйте в своё древо родных и близких"	Involve	14	500	15.40000057220459	0	ORIGINAL	#5D5D5D	1
I242:819;242:803	"Связаться с нами"	Manrope	14	500	19.124000549316406	0	ORIGINAL	#30302A	1
242:725	"Делитесь историей своей семьи с друзьями"	Involve	14	500	15.40000057220459	0	ORIGINAL	#5D5D5D	1
